nuclide,atoms
O16,1.042630e+25
U238,4.753423e+24
Xe136,4.041802e+22
Pu239,3.608846e+22
U236,2.958077e+22
Xe134,2.646520e+22
Mo100,2.198761e+22
Ba138,2.183344e+22
U235,2.167453e+22
Xe132,2.146300e+22
O18,2.091055e+22
Cs137,2.056172e+22
La139,2.008136e+22
Ru102,1.998521e+22
Ce140,1.996315e+22
Mo98,1.963298e+22
Mo97,1.897043e+22
Zr96,1.891459e+22
Nd144,1.876634e+22
Ce142,1.811792e+22
Zr94,1.806356e+22
Ru101,1.754803e+22
Cs133,1.745783e+22
Pu240,1.745752e+22
Pr141,1.741823e+22
Tc99,1.700318e+22
Zr93,1.655051e+22
Mo95,1.552644e+22
Zr92,1.508971e+22
Ru104,1.427377e+22
Zr91,1.321771e+22
Sr90,1.210237e+22
Nd146,1.195797e+22
Pu241,1.141848e+22
Nd143,1.028024e+22
Y89,1.022685e+22
Pd105,9.894703e+21
Nd145,9.607061e+21
Rh103,8.593821e+21
Pd104,7.983885e+21
Sr88,7.970758e+21
Pd106,7.129148e+21
Pu242,6.956457e+21
Te130,6.954075e+21
Cs135,6.631258e+21
Rb87,5.952409e+21
Pd107,5.924759e+21
Nd148,5.873285e+21
Xe131,5.847052e+21
Sm150,4.670260e+21
Np237,4.610898e+21
Kr86,4.351120e+21
Pd108,4.027971e+21
O17,3.978393e+21
Ru100,3.920920e+21
Ce144,3.872155e+21
Ru106,3.598270e+21
Cs134,3.313106e+21
Pu238,3.161208e+21
Kr84,2.952640e+21
Nd150,2.915896e+21
Sm148,2.915188e+21
I129,2.858337e+21
He4,2.660802e+21
Rb85,2.615374e+21
Gd156,2.320883e+21
C13,2.110266e+21
Am243,1.987281e+21
Ag109,1.836229e+21
Pm147,1.813329e+21
Te128,1.755082e+21
Ba134,1.718758e+21
Eu153,1.713652e+21
Mo96,1.663106e+21
Cd110,1.574011e+21
Cm244,1.419502e+21
Pd110,1.324510e+21
Sm152,1.189779e+21
Ba137,9.996658e+20
Zr95,9.947045e+20
Sm147,9.057730e+20
Kr83,8.928421e+20
Se82,8.915014e+20
I127,7.937189e+20
Ru103,7.692179e+20
Zr90,7.222928e+20
Sm154,6.678537e+20
Kr85,6.434924e+20
Cd111,6.269244e+20
Np239,6.094458e+20
Nd142,5.682264e+20
Y91,5.675818e+20
Br81,5.560609e+20
Nb95,5.497914e+20
Ce141,5.285434e+20
Ba136,5.144090e+20
Gd158,4.708492e+20
Eu154,4.688641e+20
Sn126,3.802710e+20
Se80,3.536552e+20
