z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.77371718e-03,2.08302317e-05,0.00000000e+00,0.00000000e+00,5.40228475e-04,1.29404735e-05,6.55602591e-03,2.29355986e-05,4.56562669e+00,1.98295650e-02,2.03746928e+04,1.13996655e+02,3.13828983e-03,2.53935514e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.77105336e-03,1.98862197e-05,0.00000000e+00,0.00000000e+00,5.31295935e-04,1.00935198e-05,6.52561859e-03,2.55951463e-05,4.56133034e+00,1.89664121e-02,2.03470959e+04,1.06610512e+02,3.12752652e-03,2.36356463e-05,0.00000000e+00,0.00000000e+00,1.10991400e+01,4.78908702e-02
2.50000000e-01,2.76132195e-03,1.88496472e-05,0.00000000e+00,0.00000000e+00,5.43676673e-04,1.18881841e-05,6.52208947e-03,3.88434080e-05,4.55731178e+00,1.86476599e-02,2.03086167e+04,1.00522087e+02,3.12981447e-03,2.55098042e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.76359318e-03,1.96700264e-05,0.00000000e+00,0.00000000e+00,5.42892504e-04,1.10302880e-05,6.45668428e-03,2.90421634e-05,4.55235296e+00,1.98425677e-02,2.02940545e+04,1.05148062e+02,3.13325253e-03,2.37860730e-05,0.00000000e+00,0.00000000e+00,1.10914600e+01,4.69177235e-02
4.50000000e-01,2.76115395e-03,1.93181955e-05,0.00000000e+00,0.00000000e+00,5.40548706e-04,9.66506759e-06,6.37851917e-03,2.42570622e-05,4.54474193e+00,2.04492636e-02,2.02372059e+04,1.03346651e+02,3.13023403e-03,2.34645075e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.76324468e-03,1.88484139e-05,0.00000000e+00,0.00000000e+00,5.44418941e-04,1.06111324e-05,6.35801808e-03,2.61655395e-05,4.55082676e+00,2.11230982e-02,2.02675910e+04,1.02827746e+02,3.13629874e-03,2.34895874e-05,0.00000000e+00,0.00000000e+00,1.10826000e+01,4.70872223e-02
6.50000000e-01,2.76297716e-03,1.86243374e-05,0.00000000e+00,0.00000000e+00,5.41957067e-04,1.10063473e-05,6.33176807e-03,2.75555919e-05,4.54845226e+00,2.06117337e-02,2.02599151e+04,1.02343200e+02,3.13355835e-03,2.53708988e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.75938298e-03,1.86860939e-05,0.00000000e+00,0.00000000e+00,5.46456089e-04,1.05769208e-05,6.28973109e-03,2.64571017e-05,4.55037166e+00,2.04605696e-02,2.02535999e+04,1.00889772e+02,3.13543601e-03,2.53087629e-05,0.00000000e+00,0.00000000e+00,1.10703800e+01,4.73940741e-02
8.50000000e-01,2.76329597e-03,1.88749015e-05,0.00000000e+00,0.00000000e+00,5.43436330e-04,1.10314560e-05,6.29523906e-03,3.65842229e-05,4.55785696e+00,2.02859953e-02,2.02834027e+04,1.04052708e+02,3.13581583e-03,2.37465725e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.75827571e-03,1.94695689e-05,0.00000000e+00,0.00000000e+00,5.47883650e-04,1.21805132e-05,6.21273956e-03,2.40622607e-05,4.55377171e+00,2.17756883e-02,2.02135458e+04,1.06852530e+02,3.13807975e-03,2.45451859e-05,0.00000000e+00,0.00000000e+00,1.10637600e+01,4.78359059e-02
