z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.85764345e-03,6.40977728e-05,0.00000000e+00,0.00000000e+00,5.26994340e-04,4.15090518e-05,6.51654443e-03,8.94116448e-05,4.43626787e+00,6.94542080e-02,2.06233651e+04,3.45210186e+02,3.20292037e-03,8.64220902e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.84265762e-03,6.38539686e-05,0.00000000e+00,0.00000000e+00,5.68458603e-04,5.30296887e-05,6.38553141e-03,5.21882132e-05,4.44253473e+00,7.14648461e-02,2.06566092e+04,3.94938135e+02,3.23587570e-03,9.06633827e-05,0.00000000e+00,0.00000000e+00,1.07422000e+01,1.53998754e-01
2.50000000e-01,2.85136703e-03,6.61802479e-05,0.00000000e+00,0.00000000e+00,5.22020272e-04,3.06797320e-05,6.37646617e-03,5.81200696e-05,4.43306612e+00,7.16951248e-02,2.05040386e+04,3.49812294e+02,3.20021159e-03,7.91215380e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.84246216e-03,6.20608484e-05,0.00000000e+00,0.00000000e+00,5.46480584e-04,4.04347228e-05,6.35170206e-03,6.87387984e-05,4.42544159e+00,6.94966761e-02,2.04442735e+04,3.23366053e+02,3.21624623e-03,8.09456222e-05,0.00000000e+00,0.00000000e+00,1.07410000e+01,1.52692905e-01
4.50000000e-01,2.83519233e-03,5.75733263e-05,0.00000000e+00,0.00000000e+00,5.34153500e-04,3.71630318e-05,6.30345586e-03,6.71730201e-05,4.44376931e+00,6.94763137e-02,2.03881352e+04,3.09670233e+02,3.19891029e-03,7.63641430e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.81986273e-03,5.63677858e-05,0.00000000e+00,0.00000000e+00,5.13033855e-04,2.64128706e-05,6.27677984e-03,6.61519697e-05,4.43161425e+00,6.80792534e-02,2.02918907e+04,3.09185618e+02,3.16345059e-03,6.83714236e-05,0.00000000e+00,0.00000000e+00,1.07228000e+01,1.53220675e-01
6.50000000e-01,2.83547075e-03,5.92268570e-05,0.00000000e+00,0.00000000e+00,5.11880404e-04,2.66591847e-05,6.25348082e-03,6.51502905e-05,4.43770965e+00,6.94508009e-02,2.03720338e+04,3.25886673e+02,3.17785103e-03,7.04311824e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.83439743e-03,6.10428599e-05,0.00000000e+00,0.00000000e+00,4.98210771e-04,2.47132600e-05,6.22393026e-03,6.17565359e-05,4.42320281e+00,6.69871138e-02,2.04079048e+04,3.21317285e+02,3.16252436e-03,6.91447993e-05,0.00000000e+00,0.00000000e+00,1.07332000e+01,1.55793544e-01
8.50000000e-01,2.86894839e-03,5.85847674e-05,0.00000000e+00,0.00000000e+00,4.84865064e-04,2.41229761e-05,6.27348495e-03,9.93656793e-05,4.46630459e+00,6.42072368e-02,2.05403819e+04,3.18440207e+02,3.18245558e-03,6.53055344e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.87104050e-03,6.07037012e-05,0.00000000e+00,0.00000000e+00,5.12433378e-04,4.08168236e-05,6.18277800e-03,6.46533887e-05,4.44448576e+00,6.53981827e-02,2.05151731e+04,3.20628492e+02,3.21555444e-03,8.10322680e-05,0.00000000e+00,0.00000000e+00,1.07304000e+01,1.54711836e-01
1.05000000e+00,2.87977241e-03,6.28277821e-05,0.00000000e+00,0.00000000e+00,4.77150881e-04,2.41790294e-05,6.12064111e-03,5.82835985e-05,4.42920821e+00,6.53766442e-02,2.05281593e+04,3.33766642e+02,3.19101386e-03,7.35656281e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
