z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.56269343e-03,5.53523700e-05,0.00000000e+00,0.00000000e+00,4.91905488e-04,3.03277576e-05,6.43674138e-03,7.26182959e-05,4.06359541e+00,5.34052312e-02,1.87159710e+04,2.87884765e+02,2.88474192e-03,6.13408441e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.56429123e-03,5.11454777e-05,0.00000000e+00,0.00000000e+00,4.66549277e-04,2.52744057e-05,6.40836074e-03,6.85054841e-05,4.05732106e+00,5.11055364e-02,1.87063933e+04,2.65374226e+02,2.86155470e-03,6.06910044e-05,0.00000000e+00,0.00000000e+00,9.82280000e+00,1.30108915e-01
2.50000000e-01,2.56347756e-03,5.31229524e-05,0.00000000e+00,0.00000000e+00,4.86255365e-04,2.96595612e-05,6.37112714e-03,6.36967602e-05,4.07299621e+00,5.22626665e-02,1.87572306e+04,2.70144829e+02,2.87872029e-03,6.74722141e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.58803437e-03,5.39697756e-05,0.00000000e+00,0.00000000e+00,5.10079797e-04,4.51812273e-05,6.34276456e-03,7.79376414e-05,4.08637509e+00,5.30744022e-02,1.88808719e+04,2.60289134e+02,2.92580788e-03,7.95943784e-05,0.00000000e+00,0.00000000e+00,9.81880000e+00,1.28939992e-01
4.50000000e-01,2.56398543e-03,5.44550500e-05,0.00000000e+00,0.00000000e+00,5.18580184e-04,2.97612286e-05,6.25348423e-03,3.53361515e-05,4.07053636e+00,5.44811747e-02,1.87568396e+04,2.82047314e+02,2.91307143e-03,6.81042715e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.55902719e-03,5.36038753e-05,0.00000000e+00,0.00000000e+00,5.23309599e-04,3.19878068e-05,6.22325312e-03,3.66542251e-05,4.05813729e+00,5.07560562e-02,1.86868709e+04,2.83396137e+02,2.91376649e-03,6.66048175e-05,0.00000000e+00,0.00000000e+00,9.82100000e+00,1.30050304e-01
6.50000000e-01,2.54027954e-03,5.31344078e-05,0.00000000e+00,0.00000000e+00,5.32877577e-04,3.24291445e-05,6.19894947e-03,3.78068508e-05,4.05592790e+00,5.17821286e-02,1.85665188e+04,2.88719674e+02,2.90594387e-03,6.65935992e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.56331220e-03,5.19539324e-05,0.00000000e+00,0.00000000e+00,5.23607696e-04,2.92501868e-05,6.17220805e-03,3.84247875e-05,4.07036783e+00,5.28184609e-02,1.86907226e+04,2.80612176e+02,2.92002012e-03,6.57014013e-05,0.00000000e+00,0.00000000e+00,9.82440000e+00,1.30849395e-01
8.50000000e-01,2.57977217e-03,5.47280856e-05,0.00000000e+00,0.00000000e+00,5.58907912e-04,4.84343718e-05,6.13553862e-03,3.84980583e-05,4.07204197e+00,5.34013398e-02,1.87760935e+04,2.89100777e+02,2.97224524e-03,7.96886457e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.55940898e-03,5.67023077e-05,0.00000000e+00,0.00000000e+00,5.26576026e-04,3.27119082e-05,6.10350211e-03,4.02166097e-05,4.06229559e+00,5.33527036e-02,1.86961952e+04,2.99637343e+02,2.91975741e-03,7.01306769e-05,0.00000000e+00,0.00000000e+00,9.81380000e+00,1.27839150e-01
