z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,3.81469595e-03,8.35112812e-05,0.00000000e+00,0.00000000e+00,9.57884751e-04,6.61543625e-05,6.43674138e-03,7.26182959e-05,7.01048067e+00,1.48867441e-01,2.66229843e+04,4.75230312e+02,4.60220625e-03,1.14754867e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,3.81766593e-03,8.28385026e-05,0.00000000e+00,0.00000000e+00,9.16568247e-04,4.99314108e-05,6.40836074e-03,6.85054841e-05,7.01041596e+00,1.44362401e-01,2.66203663e+04,4.67442166e+02,4.56437906e-03,1.08553027e-04,0.00000000e+00,0.00000000e+00,1.72125549e+01,3.49019135e-01
2.50000000e-01,3.80232829e-03,7.88225465e-05,0.00000000e+00,0.00000000e+00,9.29833019e-04,5.39649525e-05,6.37112714e-03,6.36967602e-05,6.99672757e+00,1.40219064e-01,2.65532005e+04,4.49347824e+02,4.56080286e-03,1.11464828e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,3.81977891e-03,7.68958357e-05,0.00000000e+00,0.00000000e+00,8.50994174e-04,3.72816285e-05,6.34276456e-03,7.79376414e-05,7.00920289e+00,1.41463463e-01,2.66944671e+04,4.54088618e+02,4.49826781e-03,1.02042415e-04,0.00000000e+00,0.00000000e+00,1.71941231e+01,3.49225724e-01
4.50000000e-01,3.81144687e-03,7.59455790e-05,0.00000000e+00,0.00000000e+00,8.37251197e-04,4.09719114e-05,6.25348423e-03,3.53361515e-05,7.01389304e+00,1.42822344e-01,2.66498440e+04,4.46721493e+02,4.47903234e-03,1.02369947e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,3.80253289e-03,7.46726534e-05,0.00000000e+00,0.00000000e+00,8.64505030e-04,3.95216361e-05,6.22325312e-03,3.66542251e-05,6.98890392e+00,1.40084390e-01,2.65405654e+04,4.36581203e+02,4.49842435e-03,9.68069871e-05,0.00000000e+00,0.00000000e+00,1.71923231e+01,3.48580978e-01
6.50000000e-01,3.84324770e-03,7.73969702e-05,0.00000000e+00,0.00000000e+00,9.26252004e-04,9.36270127e-05,6.19894947e-03,3.78068508e-05,7.03893261e+00,1.43946003e-01,2.67492510e+04,4.49585429e+02,4.60229796e-03,1.26984389e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,3.81136162e-03,7.83517459e-05,0.00000000e+00,0.00000000e+00,8.49272749e-04,3.36736884e-05,6.17220805e-03,3.84247875e-05,7.02233461e+00,1.43890153e-01,2.66239672e+04,4.50269531e+02,4.49378610e-03,9.94993679e-05,0.00000000e+00,0.00000000e+00,1.71959231e+01,3.48203144e-01
8.50000000e-01,3.80024177e-03,7.66998124e-05,0.00000000e+00,0.00000000e+00,9.13999451e-04,6.53916904e-05,6.13553862e-03,3.84980583e-05,7.02439632e+00,1.38749809e-01,2.65800597e+04,4.32498208e+02,4.54798888e-03,1.16132180e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,3.81356684e-03,7.43127016e-05,0.00000000e+00,0.00000000e+00,8.60613950e-04,3.99639754e-05,6.10377576e-03,4.02396225e-05,7.03259072e+00,1.35877818e-01,2.66689026e+04,4.23546599e+02,4.50815677e-03,9.93191824e-05,0.00000000e+00,0.00000000e+00,1.71871231e+01,3.44933383e-01
