r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65486044e-04,1.37903681e-06,0.00000000e+00,0.00000000e+00,1.33598096e-05,4.39521696e-07,1.32079396e-02,4.89447469e-05,2.90294706e-01,1.03529129e-03,5.96224034e+04,2.17943365e+02,0.00000000e+00,0.00000000e+00,5.70903349e-05,5.98599050e-07,0.00000000e+00,0.00000000e+00,6.24000000e-02,9.02409793e-04
4.00037556e-01,1.50037556e-01,2.82460307e-04,1.06492404e-06,0.00000000e+00,0.00000000e+00,1.38233562e-05,6.60438544e-07,9.67542028e-03,3.21765406e-05,2.53411247e-01,1.10244407e-03,4.45478440e+04,1.51482262e+02,0.00000000e+00,0.00000000e+00,5.89029782e-05,8.78051175e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69387990e-04,1.08326962e-06,0.00000000e+00,0.00000000e+00,1.54230690e-05,7.17712020e-07,8.88518905e-03,3.06170446e-05,2.60819548e-01,1.17057896e-03,4.14458744e+04,1.45442829e+02,0.00000000e+00,0.00000000e+00,6.59178828e-05,9.35954365e-07,0.00000000e+00,0.00000000e+00,1.29085000e+00,2.16208724e-03
6.00087631e-01,3.50087631e-01,2.66876032e-04,1.10061478e-06,0.00000000e+00,0.00000000e+00,1.72657357e-05,7.96353004e-07,8.47064440e-03,2.82750292e-05,2.75019786e-01,1.22657237e-03,4.00015180e+04,1.39356119e+02,0.00000000e+00,0.00000000e+00,7.45707348e-05,1.06722152e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.67052262e-04,1.08611173e-06,0.00000000e+00,0.00000000e+00,1.86675051e-05,6.75318887e-07,8.18572909e-03,2.67488982e-05,2.89685446e-01,1.25957100e-03,3.91234827e+04,1.30903659e+02,0.00000000e+00,0.00000000e+00,8.21918938e-05,1.05325679e-06,0.00000000e+00,0.00000000e+00,1.35102000e+00,2.60364833e-03
8.00137707e-01,5.50137707e-01,2.68202053e-04,1.08309163e-06,0.00000000e+00,0.00000000e+00,2.03891938e-05,6.82072261e-07,7.95698113e-03,2.43442940e-05,3.05353613e-01,1.32151254e-03,3.84613612e+04,1.30061027e+02,0.00000000e+00,0.00000000e+00,8.99209589e-05,1.04624368e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.71268317e-04,1.12240590e-06,0.00000000e+00,0.00000000e+00,2.17660722e-05,7.53503644e-07,7.79443143e-03,2.49388577e-05,3.21980615e-01,1.35059134e-03,3.79925689e+04,1.23065361e+02,0.00000000e+00,0.00000000e+00,9.81049627e-05,1.14807871e-06,0.00000000e+00,0.00000000e+00,1.40968000e+00,2.82012516e-03
1.00018778e+00,7.50187782e-01,2.72858706e-04,1.05896248e-06,0.00000000e+00,0.00000000e+00,2.39911922e-05,8.15749820e-07,7.64433855e-03,2.46216262e-05,3.36842042e-01,1.40745298e-03,3.75611812e+04,1.16879831e+02,0.00000000e+00,0.00000000e+00,1.05193549e-04,1.18671818e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.77230506e-04,1.00523662e-06,0.00000000e+00,0.00000000e+00,2.58965807e-05,6.99765498e-07,7.48766214e-03,2.05387999e-05,3.56672267e-01,1.54120526e-03,3.72262377e+04,1.04965535e+02,0.00000000e+00,0.00000000e+00,1.14763321e-04,1.13401089e-06,0.00000000e+00,0.00000000e+00,1.46752000e+00,3.00865674e-03
1.20023786e+00,9.50237857e-01,2.82080169e-04,1.08041920e-06,0.00000000e+00,0.00000000e+00,2.97360190e-05,1.34459664e-06,7.36795802e-03,2.22744415e-05,3.73862756e-01,1.50690509e-03,3.69956997e+04,1.03147980e+02,0.00000000e+00,0.00000000e+00,1.25912062e-04,1.72776392e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.86183061e-04,1.08359330e-06,0.00000000e+00,0.00000000e+00,3.16820610e-05,1.37337698e-06,7.24592963e-03,2.02293054e-05,3.90671357e-01,1.42848456e-03,3.67079912e+04,1.05682847e+02,0.00000000e+00,0.00000000e+00,1.34410512e-04,1.75530762e-06,0.00000000e+00,0.00000000e+00,1.52268000e+00,3.12655214e-03
1.40028793e+00,1.15028793e+00,2.90826816e-04,1.13674663e-06,0.00000000e+00,0.00000000e+00,3.28654462e-05,1.35324042e-06,7.15671773e-03,2.24956966e-05,4.08278535e-01,1.63818714e-03,3.65649573e+04,1.08543840e+02,0.00000000e+00,0.00000000e+00,1.42058817e-04,1.77736494e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,2.95279499e-04,1.24203853e-06,0.00000000e+00,0.00000000e+00,3.41887121e-05,1.78951977e-06,7.05436434e-03,2.29455575e-05,4.25106356e-01,1.78971806e-03,3.63078538e+04,1.15505188e+02,0.00000000e+00,0.00000000e+00,1.50158459e-04,2.12720115e-06,0.00000000e+00,0.00000000e+00,1.57766000e+00,3.26766263e-03
1.60033801e+00,1.35033801e+00,2.99433454e-04,1.32170843e-06,0.00000000e+00,0.00000000e+00,3.49037227e-05,9.96953682e-07,6.94760817e-03,2.19592482e-05,4.40384446e-01,1.88785153e-03,3.60861106e+04,1.20597339e+02,0.00000000e+00,0.00000000e+00,1.57205674e-04,1.63335732e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,3.04018361e-04,1.34039913e-06,0.00000000e+00,0.00000000e+00,3.74282076e-05,1.87827868e-06,6.85119442e-03,1.89048528e-05,4.56212236e-01,1.92213544e-03,3.59652007e+04,1.01266000e+02,0.00000000e+00,0.00000000e+00,1.66216470e-04,2.45854235e-06,0.00000000e+00,0.00000000e+00,1.63025000e+00,3.35292332e-03
1.80038808e+00,1.55038808e+00,3.08796362e-04,1.38874095e-06,0.00000000e+00,0.00000000e+00,3.89248253e-05,1.25461718e-06,6.77532952e-03,2.26542149e-05,4.71233882e-01,1.89956523e-03,3.58210199e+04,1.17409089e+02,0.00000000e+00,0.00000000e+00,1.74021804e-04,1.95471234e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90041312e+00,1.65041312e+00,3.11378965e-04,1.33640456e-06,0.00000000e+00,0.00000000e+00,4.02584871e-05,1.05517490e-06,6.66558154e-03,2.18734331e-05,4.84770502e-01,1.88055068e-03,3.55085026e+04,1.11406539e+02,0.00000000e+00,0.00000000e+00,1.80487188e-04,1.75010276e-06,0.00000000e+00,0.00000000e+00,1.68456000e+00,3.43988236e-03
2.00043816e+00,1.75043816e+00,3.17146222e-04,1.45546709e-06,0.00000000e+00,0.00000000e+00,4.20728556e-05,1.08684548e-06,6.59777073e-03,2.39408142e-05,5.01990601e-01,1.95023739e-03,3.54705708e+04,1.20724050e+02,0.00000000e+00,0.00000000e+00,1.89294684e-04,1.78471719e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
