r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65868813e-04,1.34862005e-06,0.00000000e+00,0.00000000e+00,1.37831237e-05,5.70630713e-07,1.32079396e-02,4.89447469e-05,2.90643094e-01,1.02669892e-03,6.41788281e+03,2.27268800e+01,5.78462560e-05,7.46475674e-07,0.00000000e+00,0.00000000e+00,6.35300000e-02,9.30238918e-04
4.00037556e-01,1.50037556e-01,2.83028724e-04,1.05074098e-06,0.00000000e+00,0.00000000e+00,1.34091284e-05,5.51820670e-07,9.67542028e-03,3.21765406e-05,2.53367299e-01,1.15256443e-03,4.89956633e+03,1.66524802e+01,5.90515953e-05,7.80336547e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69754959e-04,1.01817083e-06,0.00000000e+00,0.00000000e+00,1.53338331e-05,7.29870734e-07,8.88518905e-03,3.06170446e-05,2.60804060e-01,1.10926504e-03,4.63270480e+03,1.58565830e+01,6.61282186e-05,9.24488658e-07,0.00000000e+00,0.00000000e+00,1.29159000e+00,2.18558616e-03
6.00087631e-01,3.50087631e-01,2.67540534e-04,1.00368963e-06,0.00000000e+00,0.00000000e+00,1.76550512e-05,8.60559648e-07,8.47064440e-03,2.82750292e-05,2.75175904e-01,1.11185464e-03,4.54024819e+03,1.48962929e+01,7.55831261e-05,1.03720001e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68330433e-04,9.77250127e-07,0.00000000e+00,0.00000000e+00,1.87606340e-05,6.44472296e-07,8.18572909e-03,2.67488982e-05,2.90857740e-01,1.20702921e-03,4.50388175e+03,1.43489339e+01,8.35562863e-05,9.44748582e-07,0.00000000e+00,0.00000000e+00,1.35176000e+00,2.47158048e-03
8.00137707e-01,5.50137707e-01,2.69438474e-04,9.98988885e-07,0.00000000e+00,0.00000000e+00,2.08547883e-05,7.29131187e-07,7.95698113e-03,2.43442940e-05,3.06781028e-01,1.30616291e-03,4.48551120e+03,1.42366260e+01,9.16288929e-05,1.08725000e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72359483e-04,9.77511103e-07,0.00000000e+00,0.00000000e+00,2.27780404e-05,9.28364870e-07,7.79443143e-03,2.49388577e-05,3.22907328e-01,1.32620828e-03,4.49389295e+03,1.35373164e+01,1.00168175e-04,1.30544923e-06,0.00000000e+00,0.00000000e+00,1.41062000e+00,2.64692598e-03
1.00018778e+00,7.50187782e-01,2.75039415e-04,9.69460434e-07,0.00000000e+00,0.00000000e+00,2.53747272e-05,1.11329702e-06,7.64433855e-03,2.46216262e-05,3.38123826e-01,1.38417940e-03,4.50097116e+03,1.31662436e+01,1.08739919e-04,1.43030086e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.78895924e-04,9.05155026e-07,0.00000000e+00,0.00000000e+00,2.83888223e-05,1.92465710e-06,7.48766214e-03,2.05387999e-05,3.57204147e-01,1.53850464e-03,4.52256973e+03,1.23229683e+01,1.18888357e-04,2.17469021e-06,0.00000000e+00,0.00000000e+00,1.46906000e+00,2.80640740e-03
1.20023786e+00,9.50237857e-01,2.84097999e-04,9.63628306e-07,0.00000000e+00,0.00000000e+00,3.03592514e-05,1.61961538e-06,7.36795802e-03,2.22744415e-05,3.74177468e-01,1.53786081e-03,4.54858154e+03,1.13882072e+01,1.28537472e-04,2.10769347e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.88366404e-04,1.02080250e-06,0.00000000e+00,0.00000000e+00,3.24079042e-05,1.65436780e-06,7.24592963e-03,2.02293054e-05,3.91734093e-01,1.52479175e-03,4.57542517e+03,1.12252497e+01,1.37241270e-04,2.09820202e-06,0.00000000e+00,0.00000000e+00,1.52536000e+00,3.01211410e-03
1.40028793e+00,1.15028793e+00,2.93680417e-04,1.18424552e-06,0.00000000e+00,0.00000000e+00,3.44282991e-05,1.74281398e-06,7.15671773e-03,2.24956966e-05,4.09602204e-01,1.64893736e-03,4.61568254e+03,1.31973045e+01,1.46383467e-04,2.13548523e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,2.97416719e-04,1.24015958e-06,0.00000000e+00,0.00000000e+00,3.65617762e-05,2.14731029e-06,7.05436434e-03,2.29455575e-05,4.25862196e-01,1.77738699e-03,4.64119676e+03,1.41314216e+01,1.54541069e-04,2.49974520e-06,0.00000000e+00,0.00000000e+00,1.58080000e+00,3.08764222e-03
1.60033801e+00,1.35033801e+00,3.02071593e-04,1.27339237e-06,0.00000000e+00,0.00000000e+00,3.64501828e-05,1.32929178e-06,6.94760817e-03,2.19592482e-05,4.41125661e-01,1.73106039e-03,4.66537815e+03,1.40776949e+01,1.61323148e-04,1.99265634e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,3.06892196e-04,1.33986700e-06,0.00000000e+00,0.00000000e+00,3.68671377e-05,1.26275843e-06,6.85119442e-03,1.89048528e-05,4.55849063e-01,1.76233742e-03,4.69870704e+03,1.34977121e+01,1.68497740e-04,1.99826749e-06,0.00000000e+00,0.00000000e+00,1.63305000e+00,3.35286306e-03
1.80038808e+00,1.55038808e+00,3.11350366e-04,1.37007326e-06,0.00000000e+00,0.00000000e+00,4.00456679e-05,1.44858044e-06,6.77532952e-03,2.26542149e-05,4.70217574e-01,1.79295032e-03,4.72696375e+03,1.48308170e+01,1.77579645e-04,2.16194773e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90041312e+00,1.65041312e+00,3.16233932e-04,1.54123182e-06,0.00000000e+00,0.00000000e+00,4.04203692e-05,1.25207139e-06,6.66558154e-03,2.18734331e-05,4.86635270e-01,1.90621720e-03,4.74951989e+03,1.47697635e+01,1.85412040e-04,2.01387697e-06,0.00000000e+00,0.00000000e+00,1.68725000e+00,3.39635485e-03
