r_cm,depth_cm,pb_n2n,nXt
3.00012519e-01,5.00125188e-02,1.31725118e-02,3.65868813e-04
4.00037556e-01,1.50037556e-01,9.64947525e-03,2.83028724e-04
5.00062594e-01,2.50062594e-01,8.86136687e-03,2.69754959e-04
6.00087631e-01,3.50087631e-01,8.44793689e-03,2.67540534e-04
7.00112669e-01,4.50112669e-01,8.16378849e-03,2.68330433e-04
8.00137707e-01,5.50137707e-01,7.93565737e-03,2.69438474e-04
9.00162744e-01,6.50162744e-01,7.77354479e-03,2.72359483e-04
1.00018778e+00,7.50187782e-01,7.62385634e-03,2.75039415e-04
1.10021282e+00,8.50212819e-01,7.46760195e-03,2.78895924e-04
1.20023786e+00,9.50237857e-01,7.34822539e-03,2.84097999e-04
1.30026289e+00,1.05026289e+00,7.22652725e-03,2.88366404e-04
1.40028793e+00,1.15028793e+00,7.13755310e-03,2.93680417e-04
1.50031297e+00,1.25031297e+00,7.03547274e-03,2.97416719e-04
1.60033801e+00,1.35033801e+00,6.92900252e-03,3.02071593e-04
1.70036304e+00,1.45036304e+00,6.83285319e-03,3.06892196e-04
1.80038808e+00,1.55038808e+00,6.75719331e-03,3.11350366e-04
1.90041312e+00,1.65041312e+00,6.64773873e-03,3.16233932e-04
2.00043816e+00,1.75043816e+00,6.58011399e-03,3.22292261e-04
2.10046319e+00,1.85046319e+00,6.48359203e-03,3.26611306e-04
2.20048823e+00,1.95048823e+00,6.40208322e-03,3.33130549e-04
2.30051327e+00,2.05051327e+00,6.34163481e-03,3.38283170e-04
2.40053831e+00,2.15053831e+00,6.24845585e-03,3.43421946e-04
2.50056335e+00,2.25056335e+00,6.16711959e-03,3.48800435e-04
2.60058838e+00,2.35058838e+00,6.12151943e-03,3.53943814e-04
2.70061342e+00,2.45061342e+00,6.03010104e-03,3.58569483e-04
2.80063846e+00,2.55063846e+00,5.95931684e-03,3.62696672e-04
2.90066350e+00,2.65066350e+00,5.91263677e-03,3.68513063e-04
3.00068853e+00,2.75068853e+00,5.86876534e-03,3.74963470e-04
3.10071357e+00,2.85071357e+00,5.78370983e-03,3.78934804e-04
3.20073861e+00,2.95073861e+00,5.71148883e-03,3.83897348e-04
3.30076365e+00,3.05076365e+00,5.65197619e-03,3.88519347e-04
3.40078868e+00,3.15078868e+00,5.58114374e-03,3.93764527e-04
3.50081372e+00,3.25081372e+00,5.54141414e-03,4.00520397e-04
3.60083876e+00,3.35083876e+00,5.47166299e-03,4.05013755e-04
3.70086380e+00,3.45086380e+00,5.40961644e-03,4.10637169e-04
3.80088883e+00,3.55088883e+00,5.37317982e-03,4.18321634e-04
3.90091387e+00,3.65091387e+00,5.32728670e-03,4.24333467e-04
4.00093891e+00,3.75093891e+00,5.26631313e-03,4.29057213e-04
4.10096395e+00,3.85096395e+00,5.18134830e-03,4.33653912e-04
4.20098898e+00,3.95098898e+00,5.11943187e-03,4.39108391e-04
4.30101402e+00,4.05101402e+00,5.06737375e-03,4.44247852e-04
4.40103906e+00,4.15103906e+00,5.02952448e-03,4.51141795e-04
4.50106410e+00,4.25106410e+00,4.97420667e-03,4.56434134e-04
4.60108913e+00,4.35108913e+00,4.95724396e-03,4.61339709e-04
4.70111417e+00,4.45111417e+00,4.88980641e-03,4.63661375e-04
4.80113921e+00,4.55113921e+00,4.84414356e-03,4.68505215e-04
4.90116425e+00,4.65116425e+00,4.78609286e-03,4.75615427e-04
5.00118928e+00,4.75118928e+00,4.73848084e-03,4.82820112e-04
5.10121432e+00,4.85121432e+00,4.69797827e-03,4.89416932e-04
5.20123936e+00,4.95123936e+00,4.64699589e-03,4.91547730e-04
5.30126440e+00,5.05126440e+00,4.60494473e-03,4.98705444e-04
5.40128943e+00,5.15128943e+00,4.55470586e-03,5.02242356e-04
5.50131447e+00,5.25131447e+00,4.50098054e-03,5.07525597e-04
5.60133951e+00,5.35133951e+00,4.44588025e-03,5.14045455e-04
5.70136455e+00,5.45136455e+00,4.40785434e-03,5.18774138e-04
5.80138958e+00,5.55138958e+00,4.38346273e-03,5.23889142e-04
5.90141462e+00,5.65141462e+00,4.34141565e-03,5.29002825e-04
6.00143966e+00,5.75143966e+00,4.29582208e-03,5.34668492e-04
6.10146470e+00,5.85146470e+00,4.24896946e-03,5.38358325e-04
6.20148973e+00,5.95148973e+00,4.20602173e-03,5.42974553e-04
6.30151477e+00,6.05151477e+00,4.15702601e-03,5.49164530e-04
6.40153981e+00,6.15153981e+00,4.11604089e-03,5.53766374e-04
6.50156485e+00,6.25156485e+00,4.09022698e-03,5.59087271e-04
6.60158988e+00,6.35158988e+00,4.03803131e-03,5.64295994e-04
6.70161492e+00,6.45161492e+00,4.01258643e-03,5.69440541e-04
6.80163996e+00,6.55163996e+00,3.99471218e-03,5.76971918e-04
6.90166500e+00,6.65166500e+00,3.93550126e-03,5.80462478e-04
7.00169004e+00,6.75169004e+00,3.88674140e-03,5.85021369e-04
7.10171507e+00,6.85171507e+00,3.85767431e-03,5.90126449e-04
7.20174011e+00,6.95174011e+00,3.80826747e-03,5.94304497e-04
7.30176515e+00,7.05176515e+00,3.78197515e-03,6.00322253e-04
7.40179019e+00,7.15179019e+00,3.73537382e-03,6.04907057e-04
7.50181522e+00,7.25181522e+00,3.68879562e-03,6.08738496e-04
7.60184026e+00,7.35184026e+00,3.64984522e-03,6.13294063e-04
7.70186530e+00,7.45186530e+00,3.61820369e-03,6.17399115e-04
7.80189034e+00,7.55189034e+00,3.58859204e-03,6.22886733e-04
7.90191537e+00,7.65191537e+00,3.56048516e-03,6.29329304e-04
8.00194041e+00,7.75194041e+00,3.51883219e-03,6.32620890e-04
8.10196545e+00,7.85196545e+00,3.48780675e-03,6.37085932e-04
8.20199049e+00,7.95199049e+00,3.45809615e-03,6.41765529e-04
8.30201552e+00,8.05201552e+00,3.40405279e-03,6.46952097e-04
8.40204056e+00,8.15204056e+00,3.38748359e-03,6.53469192e-04
8.50206560e+00,8.25206560e+00,3.36148383e-03,6.61342665e-04
8.60209064e+00,8.35209064e+00,3.31705931e-03,6.65137292e-04
8.70211567e+00,8.45211567e+00,3.29659494e-03,6.71369560e-04
8.80214071e+00,8.55214071e+00,3.26308198e-03,6.78550320e-04
8.90216575e+00,8.65216575e+00,3.21555368e-03,6.79666351e-04
9.00219079e+00,8.75219079e+00,3.19906536e-03,6.86338615e-04
9.10221582e+00,8.85221582e+00,3.17482524e-03,6.90985530e-04
9.20224086e+00,8.95224086e+00,3.14366679e-03,6.95078341e-04
9.30226590e+00,9.05226590e+00,3.11909092e-03,6.97863233e-04
9.40229094e+00,9.15229094e+00,3.09497867e-03,7.06305812e-04
9.50231597e+00,9.25231597e+00,3.06763594e-03,7.12179862e-04
9.60234101e+00,9.35234101e+00,3.03341194e-03,7.15794279e-04
9.70236605e+00,9.45236605e+00,2.99769052e-03,7.20391244e-04
9.80239109e+00,9.55239109e+00,2.96284045e-03,7.24319812e-04
9.90241612e+00,9.65241612e+00,2.93412716e-03,7.27803978e-04
1.00024412e+01,9.75244116e+00,2.89796154e-03,7.34747684e-04
1.01024662e+01,9.85246620e+00,2.87841241e-03,7.38080481e-04
1.02024912e+01,9.95249124e+00,2.84754490e-03,7.41728752e-04
1.03025163e+01,1.00525163e+01,2.82770476e-03,7.45021189e-04
1.04025413e+01,1.01525413e+01,2.80945855e-03,7.50445729e-04
1.05025663e+01,1.02525663e+01,2.77851120e-03,7.57482951e-04
1.06025914e+01,1.03525914e+01,2.74679831e-03,7.61019891e-04
1.07026164e+01,1.04526164e+01,2.73733550e-03,7.64656137e-04
1.08026415e+01,1.05526415e+01,2.70900021e-03,7.70274286e-04
1.09026665e+01,1.06526665e+01,2.68127604e-03,7.72411585e-04
1.10026915e+01,1.07526915e+01,2.65839068e-03,7.77548321e-04
1.11027166e+01,1.08527166e+01,2.62703732e-03,7.80668045e-04
1.12027416e+01,1.09527416e+01,2.59735059e-03,7.85953803e-04
1.13027666e+01,1.10527666e+01,2.57773392e-03,7.91525515e-04
1.14027917e+01,1.11527917e+01,2.55926187e-03,7.94810467e-04
1.15028167e+01,1.12528167e+01,2.52685979e-03,7.99359716e-04
1.16028418e+01,1.13528418e+01,2.48880681e-03,8.05815772e-04
1.17028668e+01,1.14528668e+01,2.47848000e-03,8.10153334e-04
1.18028918e+01,1.15528918e+01,2.45230413e-03,8.14379120e-04
1.19029169e+01,1.16529169e+01,2.41839909e-03,8.19807334e-04
1.20029419e+01,1.17529419e+01,2.39860252e-03,8.22646261e-04
1.21029670e+01,1.18529670e+01,2.36860927e-03,8.28196104e-04
1.22029920e+01,1.19529920e+01,2.33963297e-03,8.33283242e-04
1.23030170e+01,1.20530170e+01,2.31110999e-03,8.40774998e-04
1.24030421e+01,1.21530421e+01,2.29448659e-03,8.43813798e-04
1.25030671e+01,1.22530671e+01,2.28175503e-03,8.45743766e-04
1.26030921e+01,1.23530921e+01,2.25796112e-03,8.49578853e-04
1.27031172e+01,1.24531172e+01,2.24055298e-03,8.54148207e-04
1.28031422e+01,1.25531422e+01,2.21780832e-03,8.58476544e-04
1.29031673e+01,1.26531673e+01,2.21350421e-03,8.62390418e-04
1.30031923e+01,1.27531923e+01,2.18502577e-03,8.64546980e-04
1.31032173e+01,1.28532173e+01,2.15592411e-03,8.68709695e-04
1.32032424e+01,1.29532424e+01,2.14101671e-03,8.73056874e-04
1.33032674e+01,1.30532674e+01,2.13051678e-03,8.76066323e-04
1.34032924e+01,1.31532924e+01,2.11198868e-03,8.78993397e-04
1.35033175e+01,1.32533175e+01,2.09034050e-03,8.81420844e-04
1.36033425e+01,1.33533425e+01,2.07105403e-03,8.87227728e-04
1.37033676e+01,1.34533676e+01,2.04742581e-03,8.87251288e-04
1.38033926e+01,1.35533926e+01,2.03305625e-03,8.91762608e-04
1.39034176e+01,1.36534176e+01,2.00827718e-03,9.01213975e-04
1.40034427e+01,1.37534427e+01,1.99294414e-03,9.03026239e-04
1.41034677e+01,1.38534677e+01,1.98051913e-03,9.07671106e-04
1.42034927e+01,1.39534927e+01,1.95750584e-03,9.11487481e-04
1.43035178e+01,1.40535178e+01,1.94099716e-03,9.15808505e-04
1.44035428e+01,1.41535428e+01,1.91610242e-03,9.20391079e-04
1.45035679e+01,1.42535679e+01,1.89942109e-03,9.22044585e-04
1.46035929e+01,1.43535929e+01,1.87085074e-03,9.27623479e-04
1.47036179e+01,1.44536179e+01,1.85278847e-03,9.31453010e-04
1.48036430e+01,1.45536430e+01,1.84159053e-03,9.33913444e-04
1.49036680e+01,1.46536680e+01,1.82449184e-03,9.37064682e-04
1.50036930e+01,1.47536930e+01,1.80823519e-03,9.40627029e-04
1.51037181e+01,1.48537181e+01,1.79186996e-03,9.43847691e-04
1.52037431e+01,1.49537431e+01,1.78000480e-03,9.50908035e-04
1.53037682e+01,1.50537682e+01,1.76736969e-03,9.51763556e-04
1.54037932e+01,1.51537932e+01,1.74776491e-03,9.53934230e-04
1.55038182e+01,1.52538182e+01,1.74003925e-03,9.57140543e-04
1.56038433e+01,1.53538433e+01,1.71897983e-03,9.61691078e-04
1.57038683e+01,1.54538683e+01,1.69987689e-03,9.67666289e-04
1.58038933e+01,1.55538933e+01,1.68208003e-03,9.70400365e-04
1.59039184e+01,1.56539184e+01,1.66707187e-03,9.71668263e-04
1.60039434e+01,1.57539434e+01,1.64837967e-03,9.79604218e-04
1.61039685e+01,1.58539685e+01,1.63507411e-03,9.83246692e-04
1.62039935e+01,1.59539935e+01,1.61576884e-03,9.84579418e-04
1.63040185e+01,1.60540185e+01,1.61408633e-03,9.86744248e-04
1.64040436e+01,1.61540436e+01,1.60326277e-03,9.88758612e-04
1.65040686e+01,1.62540686e+01,1.59204944e-03,9.91752324e-04
1.66040936e+01,1.63540936e+01,1.57114506e-03,9.98601789e-04
1.67041187e+01,1.64541187e+01,1.56222400e-03,1.00292410e-03
1.68041437e+01,1.65541437e+01,1.54889641e-03,1.00552060e-03
1.69041688e+01,1.66541688e+01,1.53532029e-03,1.01057322e-03
1.70041938e+01,1.67541938e+01,1.52470115e-03,1.01420885e-03
1.71042188e+01,1.68542188e+01,1.51609142e-03,1.01217427e-03
1.72042439e+01,1.69542439e+01,1.50238613e-03,1.01727279e-03
1.73042689e+01,1.70542689e+01,1.48584989e-03,1.02215173e-03
1.74042939e+01,1.71542939e+01,1.47393799e-03,1.03210204e-03
1.75043190e+01,1.72543190e+01,1.45906582e-03,1.03322402e-03
1.76043440e+01,1.73543440e+01,1.44731662e-03,1.03675524e-03
1.77043691e+01,1.74543691e+01,1.42810217e-03,1.03703515e-03
1.78043941e+01,1.75543941e+01,1.42338254e-03,1.03866366e-03
1.79044191e+01,1.76544191e+01,1.40775052e-03,1.04364390e-03
1.80044442e+01,1.77544442e+01,1.39016809e-03,1.05007514e-03
1.81044692e+01,1.78544692e+01,1.36569680e-03,1.05246048e-03
1.82044942e+01,1.79544942e+01,1.36284003e-03,1.05687024e-03
1.83045193e+01,1.80545193e+01,1.34717440e-03,1.05962597e-03
1.84045443e+01,1.81545443e+01,1.33329681e-03,1.05874561e-03
1.85045694e+01,1.82545694e+01,1.33006079e-03,1.06310732e-03
1.86045944e+01,1.83545944e+01,1.31317803e-03,1.06684748e-03
1.87046194e+01,1.84546194e+01,1.29823119e-03,1.07150245e-03
1.88046445e+01,1.85546445e+01,1.28763076e-03,1.07685624e-03
1.89046695e+01,1.86546695e+01,1.27905142e-03,1.07851077e-03
1.90046945e+01,1.87546945e+01,1.28065886e-03,1.08219846e-03
1.91047196e+01,1.88547196e+01,1.26629103e-03,1.08605883e-03
1.92047446e+01,1.89547446e+01,1.24644336e-03,1.08846301e-03
1.93047697e+01,1.90547697e+01,1.23179023e-03,1.09633793e-03
1.94047947e+01,1.91547947e+01,1.21140413e-03,1.09696369e-03
1.95048197e+01,1.92548197e+01,1.20150242e-03,1.09535475e-03
1.96048448e+01,1.93548448e+01,1.19451087e-03,1.10222901e-03
1.97048698e+01,1.94548698e+01,1.18650239e-03,1.10579416e-03
1.98048948e+01,1.95548948e+01,1.16349446e-03,1.10641097e-03
1.99049199e+01,1.96549199e+01,1.16020037e-03,1.11145838e-03
2.00049449e+01,1.97549449e+01,1.15913249e-03,1.11545448e-03
2.01049700e+01,1.98549700e+01,1.14334173e-03,1.11900745e-03
2.02049950e+01,1.99549950e+01,1.13016092e-03,1.12556163e-03
2.03050200e+01,2.00550200e+01,1.12153778e-03,1.12717398e-03
2.04050451e+01,2.01550451e+01,1.10914107e-03,1.13080763e-03
2.05050701e+01,2.02550701e+01,1.10083989e-03,1.12873685e-03
2.06050951e+01,2.03550951e+01,1.08974495e-03,1.13062597e-03
2.07051202e+01,2.04551202e+01,1.07741923e-03,1.13566413e-03
2.08051452e+01,2.05551452e+01,1.06531787e-03,1.13848412e-03
2.09051703e+01,2.06551703e+01,1.05518266e-03,1.13643639e-03
2.10051953e+01,2.07551953e+01,1.04819806e-03,1.13956926e-03
2.11052203e+01,2.08552203e+01,1.04333184e-03,1.14431666e-03
2.12052454e+01,2.09552454e+01,1.04400578e-03,1.14612994e-03
2.13052704e+01,2.10552704e+01,1.03289954e-03,1.15219710e-03
2.14052954e+01,2.11552954e+01,1.01672404e-03,1.15318069e-03
2.15053205e+01,2.12553205e+01,1.00208489e-03,1.15444370e-03
2.16053455e+01,2.13553455e+01,9.89351757e-04,1.15749621e-03
2.17053706e+01,2.14553706e+01,9.94432574e-04,1.15949011e-03
2.18053956e+01,2.15553956e+01,9.86845228e-04,1.16643990e-03
2.19054206e+01,2.16554206e+01,9.77321505e-04,1.16757894e-03
2.20054457e+01,2.17554457e+01,9.65140486e-04,1.17081522e-03
2.21054707e+01,2.18554707e+01,9.55125462e-04,1.17433930e-03
2.22054957e+01,2.19554957e+01,9.50642728e-04,1.17533237e-03
2.23055208e+01,2.20555208e+01,9.41083935e-04,1.17445989e-03
2.24055458e+01,2.21555458e+01,9.37505789e-04,1.17657027e-03
2.25055709e+01,2.22555709e+01,9.28960548e-04,1.18074542e-03
2.26055959e+01,2.23555959e+01,9.17379748e-04,1.18371879e-03
2.27056209e+01,2.24556209e+01,9.16234027e-04,1.18720071e-03
2.28056460e+01,2.25556460e+01,9.07295623e-04,1.19076697e-03
2.29056710e+01,2.26556710e+01,8.92743221e-04,1.19043206e-03
2.30056960e+01,2.27556960e+01,8.83773909e-04,1.19372450e-03
2.31057211e+01,2.28557211e+01,8.79133006e-04,1.19817348e-03
2.32057461e+01,2.29557461e+01,8.76634940e-04,1.20030282e-03
2.33057712e+01,2.30557712e+01,8.70098728e-04,1.20800478e-03
2.34057962e+01,2.31557962e+01,8.55711193e-04,1.21141977e-03
2.35058212e+01,2.32558212e+01,8.52092633e-04,1.21155610e-03
2.36058463e+01,2.33558463e+01,8.42822063e-04,1.21466452e-03
2.37058713e+01,2.34558713e+01,8.38288377e-04,1.21246851e-03
2.38058963e+01,2.35558963e+01,8.32067823e-04,1.21608821e-03
2.39059214e+01,2.36559214e+01,8.25491020e-04,1.21918180e-03
2.40059464e+01,2.37559464e+01,8.13539114e-04,1.21793447e-03
2.41059715e+01,2.38559715e+01,8.01660227e-04,1.21969278e-03
2.42059965e+01,2.39559965e+01,7.99564545e-04,1.22513811e-03
2.43060215e+01,2.40560215e+01,7.91594026e-04,1.23050293e-03
2.44060466e+01,2.41560466e+01,7.81304074e-04,1.23294376e-03
2.45060716e+01,2.42560716e+01,7.74469792e-04,1.23107255e-03
2.46060966e+01,2.43560966e+01,7.69302450e-04,1.23396772e-03
2.47061217e+01,2.44561217e+01,7.62904350e-04,1.23644883e-03
2.48061467e+01,2.45561467e+01,7.53495166e-04,1.23648046e-03
2.49061718e+01,2.46561718e+01,7.45236866e-04,1.24163759e-03
2.50061968e+01,2.47561968e+01,7.38874156e-04,1.24550600e-03
2.51062218e+01,2.48562218e+01,7.27822500e-04,1.24581543e-03
2.52062469e+01,2.49562469e+01,7.24341074e-04,1.24848468e-03
