r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65952659e-04,1.34805365e-06,0.00000000e+00,0.00000000e+00,1.37163045e-05,5.04618359e-07,1.32079396e-02,4.89447469e-05,2.90751464e-01,1.03435041e-03,6.41820259e+03,2.26790339e+01,5.78637187e-05,6.84383176e-07,0.00000000e+00,0.00000000e+00,6.35000000e-02,9.33928382e-04
4.00037556e-01,1.50037556e-01,2.83135666e-04,1.05664348e-06,0.00000000e+00,0.00000000e+00,1.33327552e-05,4.83208310e-07,9.67542028e-03,3.21765406e-05,2.53334854e-01,1.09786729e-03,4.89989026e+03,1.65293892e+01,5.90702635e-05,7.33483355e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69844178e-04,1.03134217e-06,0.00000000e+00,0.00000000e+00,1.58228607e-05,8.58376527e-07,8.88518905e-03,3.06170446e-05,2.60797024e-01,1.11112330e-03,4.63293863e+03,1.58344548e+01,6.67017835e-05,1.05872404e-06,0.00000000e+00,0.00000000e+00,1.29212000e+00,2.20459942e-03
6.00087631e-01,3.50087631e-01,2.67697804e-04,1.00058977e-06,0.00000000e+00,0.00000000e+00,1.76222022e-05,8.34094910e-07,8.47064440e-03,2.82750292e-05,2.75240308e-01,1.10657027e-03,4.54126648e+03,1.48069433e+01,7.57072127e-05,1.04830287e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68564698e-04,9.71475538e-07,0.00000000e+00,0.00000000e+00,1.89026865e-05,6.40115072e-07,8.18572909e-03,2.67488982e-05,2.91084363e-01,1.20266462e-03,4.50567480e+03,1.43037664e+01,8.39314338e-05,9.49585486e-07,0.00000000e+00,0.00000000e+00,1.35224000e+00,2.48446144e-03
8.00137707e-01,5.50137707e-01,2.69776467e-04,9.81231750e-07,0.00000000e+00,0.00000000e+00,2.10347468e-05,7.18884252e-07,7.95698113e-03,2.43442940e-05,3.07131019e-01,1.31302262e-03,4.48755822e+03,1.41880119e+01,9.21496074e-05,1.06443482e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72658938e-04,9.49876816e-07,0.00000000e+00,0.00000000e+00,2.29774286e-05,9.24349933e-07,7.79443143e-03,2.49388577e-05,3.23300426e-01,1.33118727e-03,4.49585256e+03,1.33524351e+01,1.00670382e-04,1.30894528e-06,0.00000000e+00,0.00000000e+00,1.41119000e+00,2.67100748e-03
1.00018778e+00,7.50187782e-01,2.75410858e-04,9.39434002e-07,0.00000000e+00,0.00000000e+00,2.55715833e-05,1.11626463e-06,7.64433855e-03,2.46216262e-05,3.38496274e-01,1.36083093e-03,4.50316298e+03,1.29577482e+01,1.09313460e-04,1.42102922e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79338507e-04,8.89707221e-07,0.00000000e+00,0.00000000e+00,2.84710061e-05,1.92675979e-06,7.48766214e-03,2.05387999e-05,3.57747116e-01,1.52457465e-03,4.52510860e+03,1.21324647e+01,1.19418016e-04,2.17567645e-06,0.00000000e+00,0.00000000e+00,1.46957000e+00,2.81899231e-03
1.20023786e+00,9.50237857e-01,2.84452511e-04,9.32511941e-07,0.00000000e+00,0.00000000e+00,3.04644383e-05,1.60400311e-06,7.36795802e-03,2.22744415e-05,3.74695099e-01,1.52844612e-03,4.55085723e+03,1.11221415e+01,1.28998132e-04,2.07208741e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.88792391e-04,9.98865061e-07,0.00000000e+00,0.00000000e+00,3.24925226e-05,1.63811319e-06,7.24592963e-03,2.02293054e-05,3.92262032e-01,1.55499103e-03,4.57739495e+03,1.11559957e+01,1.37752399e-04,2.05069158e-06,0.00000000e+00,0.00000000e+00,1.52623000e+00,3.02964648e-03
1.40028793e+00,1.15028793e+00,2.94068833e-04,1.17614042e-06,0.00000000e+00,0.00000000e+00,3.45139679e-05,1.73451134e-06,7.15671773e-03,2.24956966e-05,4.09841779e-01,1.67090874e-03,4.61688467e+03,1.30335387e+01,1.46849534e-04,2.11674935e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,2.97886357e-04,1.24867627e-06,0.00000000e+00,0.00000000e+00,3.66748680e-05,2.14435443e-06,7.05436434e-03,2.29455575e-05,4.26288526e-01,1.81992417e-03,4.64282003e+03,1.39906123e+01,1.55117206e-04,2.48918493e-06,0.00000000e+00,0.00000000e+00,1.58163000e+00,3.07609393e-03
1.60033801e+00,1.35033801e+00,3.02435156e-04,1.22634965e-06,0.00000000e+00,0.00000000e+00,3.66048597e-05,1.31984106e-06,6.94760817e-03,2.19592482e-05,4.41401978e-01,1.72057986e-03,4.66720090e+03,1.36473787e+01,1.61835742e-04,1.93589336e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,3.07222623e-04,1.31641016e-06,0.00000000e+00,0.00000000e+00,3.69169545e-05,1.25112395e-06,6.85119442e-03,1.89048528e-05,4.56063958e-01,1.75803535e-03,4.69994975e+03,1.32154815e+01,1.68876903e-04,1.94866209e-06,0.00000000e+00,0.00000000e+00,1.63386000e+00,3.32921003e-03
